child	age	dur	nation	god	univ
2	33	9	0	6	0
2	80	7	0	1	0
1	63	8	0	1	0
2	82	7	0	1	0
2	49	8	0	1	0
1	54	9	0	5	0
4	56	9	0	3	0
2	36	16	0	1	1
3	34	11	0	2	0
1	54	8	0	4	0
1	22	9	0	1	0
1	59	12	0	4	0
0	53	10	0	4	0
0	24	10	0	4	0
0	59	6	0	3	0
0	29	10	0	4	0
2	42	8	0	2	0
2	67	8	0	1	0
0	22	8	0	4	0
0	28	10	0	2	0
1	66	13	0	4	0
1	57	9	0	2	0
3	45	9	0	4	0
2	57	6	0	1	0
2	35	9	0	4	0
2	37	10	0	2	0
2	32	12	0	4	0
1	34	13	0	6	0
3	32	10	0	6	0
2	52	11	0	1	0
0	29	11	0	6	0
2	82	12	0	6	0
0	24	11	0	5	0
3	43	8	0	2	0
0	53	8	0	2	0
1	30	9	0	5	0
1	67	8	0	2	0
2	69	8	0	1	0
3	67	8	0	2	0
2	29	9	0	2	0
2	46	9	0	1	0
1	43	10	0	1	0
1	27	10	1	5	0
3	50	9	0	2	0
2	58	10	0	5	0
2	30	10	0	3	0
2	40	11	0	4	0
2	33	9	0	4	0
1	55	8	0	4	0
2	34	13	0	2	0
0	39	10	0	4	0
4	46	8	0	2	0
3	54	8	0	5	0
2	48	11	0	2	0
2	68	13	0	4	0
3	59	10	0	2	0
1	34	10	0	5	0
3	76	8	0	1	0
0	34	20	0	2	1
3	53	8	0	6	0
3	38	10	0	4	0
0	24	9	0	4	0
2	66	8	0	2	0
0	45	17	0	2	0
1	49	8	1	1	0
1	47	9	0	1	0
1	30	9	0	2	0
3	38	9	0	1	0
3	71	8	0	4	0
4	55	8	0	3	0
2	38	9	0	5	0
3	72	8	0	1	0
4	35	10	0	4	0
0	25	11	0	2	0
3	29	9	0	4	0
2	39	9	0	4	0
2	58	8	0	5	0
5	43	9	0	2	0
0	70	8	0	3	0
1	56	8	0	3	0
0	72	8	0	4	0
3	59	8	0	3	0
2	82	8	0	5	0
0	71	10	0	4	0
2	34	13	0	5	0
2	60	10	0	6	0
0	44	9	0	2	0
1	48	10	1	5	0
2	36	8	0	2	0
2	34	12	0	4	0
1	75	18	0	5	1
1	32	16	1	4	0
0	72	10	0	6	0
0	30	10	0	5	0
1	34	8	1	2	0
1	36	9	0	5	0
2	37	10	0	3	0
0	27	12	0	3	0
2	35	10	0	2	0
0	28	12	0	6	0
3	73	8	0	5	0
0	53	10	0	3	0
1	50	8	0	4	0
1	54	8	0	3	0
4	54	16	0	5	1
2	63	8	0	4	0
2	53	10	0	2	0
1	35	9	0	1	0
1	22	10	0	5	0
2	35	10	0	2	0
0	72	9	0	6	0
2	53	8	1	3	0
2	24	12	1	2	0
1	72	8	0	5	0
0	23	10	0	6	0
1	72	10	0	1	0
1	59	8	0	2	0
1	21	10	0	3	0
4	38	10	0	4	0
1	44	8	0	5	0
2	71	10	0	5	0
3	30	10	0	5	0
2	31	10	0	1	0
2	38	12	0	4	0
1	34	9	0	5	0
4	51	8	0	3	0
4	63	8	0	4	0
3	31	7	0	5	0
