Date,Closing price,,Compounded return,St Dummy
12/30/2022,31604.54,,-0.0235153831883623,1
11/30/2022,32356.54,,0.0628332010297626,1
10/31/2022,30386.03,,0.0468295572663054,0
9/30/2022,28995.87,,-0.0694551982704775,0
8/31/2022,31081.37,,-0.0272690104294713,0
7/29/2022,31940.59,,0.0718975826389664,0
6/30/2022,29724.75,,-0.0767143027084509,0
5/31/2022,32094.81,,-0.00077677091469631,0
4/29/2022,32119.75,,-0.00070336951116558,1
3/31/2022,32142.35,,0.0210568314799064,1
2/28/2022,31472.61,,-0.0823264083885021,1
1/31/2022,34173.28,,-0.0511172056486728,1
12/30/2021,35965.54,,0.0475640195571231,1
11/30/2021,34294.92,,-0.0241231277180405,1
10/29/2021,35132.28,,0.0186611669694126,0
9/30/2021,34482.75,,-0.0546940202106777,0
8/31/2021,36421.28,,0.00973497446373062,0
7/30/2021,36068.44,,0.0513915918854739,0
6/30/2021,34261.65,,0.0253117834748268,0
5/31/2021,33405.31,,0.0177227933101418,0
4/30/2021,32818.49,,0.0469951365576912,1
3/31/2021,31311.86,,0.0334411513266836,1
2/26/2021,30282.07,,0.00981917933175994,1
1/29/2021,29986.18,,0.0207291563484019,1
12/30/2020,29370.99,,0.0150505626067025,1
11/30/2020,28932.25,,0.112660602395124,1
10/30/2020,25849.63,,-0.0409126841624359,0
9/30/2020,26929.14,,-0.00399436769340631,0
8/31/2020,27036.92,,0.0612391557288358,0
7/31/2020,25430.88,,0.0404597545463938,0
6/30/2020,24422.49,,0.00138246868441423,0
5/29/2020,24388.75,,0.069808714860985,0
4/30/2020,22744.27,,0.0996291500372276,1
3/31/2020,20587.5,,-0.173207492242252,1
2/28/2020,24480.86,,-0.0630796604876541,1
1/31/2020,26074.85,,0.0218552447500022,1
12/30/2019,25511.16,,0.0399454586500397,1
11/29/2019,24512.19,,-0.00267142415077056,1
10/31/2019,24577.76,,0.00578696959356867,0
9/30/2019,24435.94,,0.0483482694097633,0
8/30/2019,23282.61,,-0.0191580693079575,0
7/31/2019,23732.96,,-0.0115185600916042,0
6/28/2019,24007.91,,0.0393584272502863,0
