variety	length
1	47.12
1	46.75
1	46.81
1	47.12
1	46.67
1	47.43
1	46.44
1	46.64
1	48.07
1	48.34
1	48.15
1	50.26
1	50.12
1	46.34
1	46.94
1	48.36
2	41.90
2	42.01
2	41.93
2	43.09
2	41.47
2	41.69
2	39.78
2	40.57
2	39.63
2	42.18
2	40.66
2	37.87
2	39.16
2	37.40
2	38.20
2	38.07
2	38.10
2	37.97
2	38.79
2	38.23
2	38.87
2	37.78
2	38.01
3	36.78
3	37.02
3	36.52
3	36.11
3	36.03
3	35.45
3	38.13
3	37.10
3	35.17
3	36.82
3	36.66
3	35.68
3	36.03
3	34.57
3	34.63
